date,heartrate
2025-03-07 11:31:13 +0100,110.0
2025-03-07 11:31:56 +0100,77.0
2025-03-07 11:35:56 +0100,94.0
2025-03-07 11:44:14 +0100,118.0
2025-03-07 11:46:39 +0100,141.0
2025-03-07 11:50:32 +0100,126.0
2025-03-07 11:41:35 +0100,74.0
2025-03-07 11:50:58 +0100,122.0
2025-03-07 11:51:02 +0100,124.0
2025-03-07 11:51:04 +0100,123.0
2025-03-07 11:51:11 +0100,125.0
2025-03-07 11:51:16 +0100,130.0
2025-03-07 11:51:23 +0100,132.0
2025-03-07 11:51:27 +0100,132.0
2025-03-07 11:51:31 +0100,133.0
2025-03-07 11:51:36 +0100,129.0
2025-03-07 11:51:41 +0100,131.0
2025-03-07 11:51:48 +0100,127.0
2025-03-07 11:51:53 +0100,122.0
2025-03-07 11:51:54 +0100,122.0
2025-03-07 11:52:03 +0100,122.0
2025-03-07 11:52:07 +0100,123.0
2025-03-07 11:52:09 +0100,123.0
2025-03-07 11:52:17 +0100,122.0
2025-03-07 11:52:23 +0100,125.0
2025-03-07 11:52:25 +0100,125.0
2025-03-07 11:52:31 +0100,121.0
2025-03-07 11:52:38 +0100,123.0
2025-03-07 11:52:41 +0100,123.0
2025-03-07 11:52:44 +0100,122.0
2025-03-07 11:52:53 +0100,123.0
2025-03-07 11:52:57 +0100,123.0
2025-03-07 11:52:59 +0100,121.0
2025-03-07 11:53:07 +0100,117.0
2025-03-07 11:53:12 +0100,117.0
2025-03-07 11:53:14 +0100,117.0
2025-03-07 11:53:19 +0100,121.0
2025-03-07 11:53:24 +0100,121.0
2025-03-07 11:53:33 +0100,122.0
2025-03-07 11:53:34 +0100,122.0
2025-03-07 11:53:41 +0100,127.0
2025-03-07 11:53:46 +0100,132.0
2025-03-07 11:53:53 +0100,135.0
2025-03-07 11:53:55 +0100,136.0
2025-03-07 11:54:03 +0100,137.0
2025-03-07 11:54:04 +0100,137.0
2025-03-07 11:54:13 +0100,137.0
2025-03-07 11:54:14 +0100,138.0
2025-03-07 11:54:19 +0100,140.0
2025-03-07 11:54:27 +0100,137.0
2025-03-07 11:54:31 +0100,136.0
2025-03-07 11:54:35 +0100,138.0
2025-03-07 11:54:43 +0100,139.0
2025-03-07 11:54:47 +0100,143.0
2025-03-07 11:54:50 +0100,143.0
2025-03-07 11:54:56 +0100,143.0
2025-03-07 11:55:00 +0100,142.0
2025-03-07 11:55:07 +0100,145.0
2025-03-07 11:55:13 +0100,145.0
2025-03-07 11:55:14 +0100,146.0
2025-03-07 11:55:19 +0100,145.0
2025-03-07 11:55:27 +0100,140.0
2025-03-07 11:55:33 +0100,141.0
2025-03-07 11:55:35 +0100,142.0
2025-03-07 11:55:39 +0100,143.0
